;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;420;100,0%;420;;;;;;;;;;;;;;;;;420;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100;20,0%;20;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250;16,0%;40;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;
;Telefony (stacjonarny, komórka);25;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);10;2699,7%;270;;;;;;190;80;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500;117,0%;1 755;34;20;240;63;22;56;;12;73;11;;2;163;87;13;;44;74;76;35;32;9;120;18;51;140;340;5;5;10;
3. TRANSPORT;Paliwo;100;218,9%;219;;40;;;;;;;;;;;;;;;;49;;;;;30;;;50;50;;;;
;Ubezp. samochodu (miesięcznie);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilety miesięczne;5;24,0%;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);30;103,3%;31;;;;;;;;;;;;;;;;;;;;25;;;;6;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;313;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;250;209,1%;523;;125;;;12;5;66;46;6;56;4;49;13;;3;9;;;;;;;;67;13;;;50;;;
;Wyjazdy i podróże;50;817,1%;409;;;;;;;;;;;;;;;;;;;230;179;;;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hobby / Sport / Muzyka;100;30,0%;30;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;
;Inne (kino, teatr, CD, DVD;0;#DIV/0!;30;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;200;172,0%;344;;34;;;;;;;;;;200;;;;;;30;;;;;;;;;80;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczęd. na duże zakupy (samochód, meble ..);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;240;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;100;202,4%;202;;;;;;;32;;38;;;;;;;;;113;;;;;;19;;;;;;;
10. EDUKACJA;Czesne / Przedszkole;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;10;129,9%;13;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);200;86,6%;173;;118;;;;;;;;;;;;;;23;;;;;;32;;;;;;;;;
;Kieszonkowe (mąż, żona, dzieci);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);50;176,0%;88;;1;1;;;70;;;;;;;;;;;;;;;;;;16;;;;;;;
;Inne;100;670,0%;670;;;;;;;;;;;;;;;;;;;550;;;;;;120;;;;;;
;Podsumowanie;4 103;XX;5 238;34 ;338 ;241 ;63 ;33 ;321 ;178 ;59 ;117 ;67 ;4 ;282 ;217 ;87 ;16 ;65 ;464 ;266 ;855 ;269 ;32 ;41 ;150 ;126 ;184 ;190 ;470 ;55 ;5 ;10 ;125
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;0,00;#DIV/0!;400,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 563,18;107,2%;5 963,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
