;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;20;21;22;23;24;25;26;27;28;29;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;420 zł;100,0%;420 zł;;;;;;;;;;;;;;;;;;;;420;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100 zł;5,0%;5 zł;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;
;Abonament TV / kablówka;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250 zł;106,7%;267 zł;40;;;;;;;;;;;;;;;;;;;;;;;;;;11;216;;;
;Telefony (stacjonarny, komórka);25 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);10 zł;4629,3%;463 zł;;;;280;;;;;;134;;49;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500 zł;130,9%;1 964 zł;41;29;28;38;40;21;31;2;27;19;;6;18;972;16;20;28;20;6;369;;;49;15;;12;146;11;;;
3. TRANSPORT;Paliwo;100 zł;373,6%;374 zł;;;50;;;10;;;60;34;;;;;160;;;;;;;;;;60;;;;;;
;Ubezp. samochodu (miesięcznie);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50 zł;40,0%;20 zł;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;
;Bilety miesięczne;5 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);30 zł;57,3%;17 zł;;;;;;;;;6;;;11;;;;;;;;;;;;;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;313 zł;100,0%;313 zł;;;;;313;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;250 zł;182,3%;456 zł;20;;41;;;;12;13;13;78;34;80;;14;;21;46;;;;;;;56;;;;28;;;
;Wyjazdy i podróże;50 zł;596,0%;298 zł;;;;;;;;;;;;;;;;298;;;;;;;;;;;;;;;
;Wakacje;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;350 zł;124,4%;435 zł;;;;;;;;;293;;;142;;;;;;;;;;;;;;;;;;;
;Hobby / Sport / Muzyka;100 zł;378,0%;378 zł;;;;;;;;;70;;;;;;300;;;;;;;;8;;;;;;;;
;Inne (kino, teatr, CD, DVD;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
