;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;;;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;420;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250;540,7%;1 352;;;309;;191;;;;;;;224;166;115;;62;;59;;;40;20;10;;;;136;20;;;;
;Telefony (stacjonarny, komórka);25;235,5%;59;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500;112,7%;1 690;15;128;21;12;55;70;17;6;19;119;;98;15;13;34;;161;;53;52;15;15;150;23;;24;9;388;178;;;
3. TRANSPORT;Paliwo;100;247,4%;247;;;;87;;;;;;;50;;;;;50;;;60;;;;;;;;;;;;;
;Ubezp. samochodu (miesięcznie);0;#DIV/0!;387;;;;;;;;;387;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilety miesięczne;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);30;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;313;100,0%;313;;;;;;313;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;250;192,4%;481;;;;28;29;;20;54;;;102;;;30;;155;;;;28;35;;;;;;;;;;;
;Wyjazdy i podróże;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;350;185,1%;648;;;;327;;;;;;;;;;;;;40;;;;;;;;;;281;;;;;
;Hobby / Sport / Muzyka;100;130,3%;130;;;;;;;;;;;;;;130;;;;;;;;;;;;;;;;;;
;Inne (kino, teatr, CD, DVD;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;200;107,0%;214;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczęd. na duże zakupy (samochód, meble ..);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;240;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;100;118,4%;118;;;;;;;48;;;;;;;;;;;;;;;70;;;;;;;;;;
10. EDUKACJA;Czesne / Przedszkole;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);200;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kieszonkowe (mąż, żona, dzieci);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);50;67,3%;34;;;;;;9;;;;;;;;;;;;;;;;;;;;;25;;;;;
;Inne;100;15,6%;16;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Podsumowanie;4 453;XX;5 689;15 ;143 ;330;454;274 ;392 ;85 ;60 ;406 ;119;152;322 ;181 ;288 ;34 ;267 ;260;59;113 ;80 ;304 ;105 ;160 ;23;0;24 ;451 ;408 ;178 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;#DIV/0!;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 563,18;101,8%;5 663,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;5 563,18;101,8%;5 663,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;4 453,16;127,8%;5 689,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;1 110,02;-2,3%;-26,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
