;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;;;;;;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;420;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250;407,9%;1 020;20;341;;197;107;164;;112;;1;20;;37;;-20;;;;;;;;;;;41;;;;;;;;
;Telefony (stacjonarny, komórka);25;444,0%;111;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500;61,9%;929;3;10;;9;14;30;31;4;32;14;13;22;18;21;20;10;41;34;;;25;473;;22;41;38;5;;;;;;;
3. TRANSPORT;Paliwo;500;97,1%;485;30;50;;30;50;;;49;;;50;;;;;;;;;50;;70;;;;;20;86;;;;;;
;Ubezp. samochodu (miesięcznie);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50;12,0%;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;
;Bilety miesięczne;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);30;601,7%;181;;;;;4;;;12;;;;;41;10;40;;23;8;;;;;23;;;;20;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;313;100,0%;313;;;;;;;313;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;150;973,2%;1 460;19;;92;28;63;28;;78;;27;53;84;176;53;20;110;89;26;193;12;-19;29;58;-17;73;24;64;98;;;;;;
;Wyjazdy i podróże;50;107,6%;54;;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;350;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hobby / Sport / Muzyka;100;267,9%;268;;;;19;140;;;;;;;;;;;;;;;;;;;;;;20;89;;;;;;
;Inne (kino, teatr, CD, DVD;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;200;120,1%;240;;;;;;;;205;;;;;;;;;;;;;;;;;;35;;;;;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczęd. na duże zakupy (samochód, meble ..);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;240;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;100;329,1%;329;80;;;;;;39;;;;;;66;;111;;;;;;;;;;32;;;;;;;;;
10. EDUKACJA;Czesne / Przedszkole;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);200;127,8%;256;;;82;;;;;;;;128;;;;;;;;;;;;;;;;45;;;;;;;
;Kieszonkowe (mąż, żona, dzieci);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);100;68,8%;69;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;;;
